siteId,date,phMean,phMax,phMin,phSd,phCnt,caMean,caMax,caMin,caSd,caCnt,tempMean,tempMax,tempMin,tempSd,tempCnt,uniqueSiteDates
IDEQ_WQX-2011SPOCA026,2011-08-01,,,,,,,,,,,14.7,14.7,14.7,,1.0,2011-08-01_break_IDEQ_WQX-2011SPOCA026
IDEQ_WQX-2011SPOCA059,2011-09-07,,,,,,,,,,,10.1,10.1,10.1,,1.0,2011-09-07_break_IDEQ_WQX-2011SPOCA059
WYDEQ_WATERSHED-MRW0164,2011-06-30,8.24,8.24,8.24,,1.0,,,,,,13.57,13.57,13.57,,1.0,2011-06-30_break_WYDEQ_WATERSHED-MRW0164
WYDEQ_WATERSHED-MRW0190,2011-10-10,7.78,7.78,7.78,,1.0,,,,,,8.64,8.64,8.64,,1.0,2011-10-10_break_WYDEQ_WATERSHED-MRW0190
WYDEQ_WATERSHED-MRW0163,2011-10-10,8.07,8.07,8.07,,1.0,,,,,,7.5,7.5,7.5,,1.0,2011-10-10_break_WYDEQ_WATERSHED-MRW0163
IDEQ_WQX-2011SPOCA056,2011-08-10,,,,,,,,,,,17.7,17.7,17.7,,1.0,2011-08-10_break_IDEQ_WQX-2011SPOCA056
WYDEQ_WATERSHED-MRW0162,2011-06-27,8.36,8.36,8.36,,1.0,,,,,,12.05,12.05,12.05,,1.0,2011-06-27_break_WYDEQ_WATERSHED-MRW0162
WYDEQ_WATERSHED-MRW0163,2011-10-13,8.0,8.0,8.0,,1.0,,,,,,6.32,6.32,6.32,,1.0,2011-10-13_break_WYDEQ_WATERSHED-MRW0163
WYDEQ_WATERSHED-MRW0163,2011-06-30,8.16,8.16,8.16,,1.0,,,,,,13.38,13.38,13.38,,1.0,2011-06-30_break_WYDEQ_WATERSHED-MRW0163
IDEQ_WQX-2011SPOCA027,2011-08-01,,,,,,,,,,,14.2,14.2,14.2,,1.0,2011-08-01_break_IDEQ_WQX-2011SPOCA027
WYDEQ_WATERSHED-MRW0189,2011-10-10,8.0,8.0,8.0,,1.0,,,,,,8.88,8.88,8.88,,1.0,2011-10-10_break_WYDEQ_WATERSHED-MRW0189
11NPSWRD_WQX-GRTE_SNR02,2014-04-16,8.34,8.34,8.34,,1.0,26.175,27.2,24.9,0.963932916061,4.0,4.54,4.54,4.54,,1.0,2014-04-16_break_11NPSWRD_WQX-GRTE_SNR02
